Number,Title,Default_Spirits,Mandatory_Spirits,Mandatory_Aspects,Restricted_Spirits,Restricted_Aspects,Adversary,Board_Setup,Game_Effects,Description,Victory_Text,Unlocks
66,ASPECT of Foreboding,(none),"Lure of the Deep Wilderness, Shadows Flicker Like Flame",Foreboding,All other spirits,,Russia,Standard,"Use Powers Long Forgotten default scenario.
Additional loss condition: invaders discover all sources of power.
Spirits do not benefit from the first source of power they find.","Lure of the Deep Wilderness' help is like none other: it is a bizarre spirit, with whom it is hardly possible to communicate. For this reason, perhaps, it was perfectly suited to help Shadows Flicker Like Flame: in an alien way, they understood each other.
As invaders abandoned their post to travel ever-inland, those who stayed behind started feeling distraught. As their Shadows started Flickering, this feeling evolved to become Foreboding.","It is not always easy to measure a spirit's influence. In their battle against invaders, some spirits smash houses and ships; other spirits let vines and beasts go wild. How would one measure the importance of the day when invaders decided to step away from the island without any bloodshed, solely because they were confident something terrible would happen if they were to step foot on the island?","If you won during your first game, unlock Shadows Flicker Like Flame's Foreboding aspect.
If you won during your second game, instead reveal Artifact #14.
Regardless of the outcome, unlock Scenario #16."
67,Cleaning Up is a Drag,"Thunderspeaker, Ocean's Hungry Grasp",(none),,"Keeper of the Forbidden Wilds, Grinning Trickster Stirs Up Trouble",,France,Standard,"During game setup:
-Add 1 blight to land #1, 1 blight to land #3, and 1 blight to land #8 on each board. The blight comes from the box, not the blight card.
-Add 1 beast token to land #8 on one board only.
-Look through the minor power deck and take Renewing Boon, Absorb Corruption and Call to tend, and add them to the hand of either player.

Additional victory condition: there are at most 2 blights on each board.","Spirits arrive to the South-Eastern island to find it in a severe state of disarray, blight already covering a large part of the island. There, they are greeted by an oddly large Dahan wearing a disproportionately large hat.
Help?, it says. Oh, help can be provided. However, the Dahan - no, the invaders - oh, honestly, pretty much all other local spirits - have left this place quite a mess, and help cannot be provided until the island is back to a more orderly state. Would the spirits be so kind as to help clean up the island?
As soon as the spirits agree, the oddly large Dahan disappears, leaving them alone with the task of cleaning up the island.
They observe the land before them, still fresh from a recent arson...

Are those... tigers?","Their task completed, the spirits seek the oddly large Dahan, but it is nowhere to be seen. Have they been tricked?
Highly displeased, they make their way back North, anxious about the state of the island they left behind.
In a nearby town, invaders' voices are rising in anger. All except one, hiding its numerous eyes under an oversized hat. This one is Grinning.",Scenario #75
68,Here Comes the Sun,"Volcano Looming High, Shroud of Silent Mist, Vengeance as a Burning Plague",(none),,(none),,Scotland,Coastline,"Use Elemental Invocation default scenario.
Additional victory condition: at least 4 Sun element markers are present on the board.","The invaders, explains Thunderspeaker, have stolen an object of great power, one that allows them to shield themselves with the power of the Sun itself. If the spirits of destruction cannot be calmed down, they may be directed to a more helpful direction. See if it would not be possible to track down what has been stolen, and bring it back. Destruction will be welcome in this endeavour.
To start, the best thing to do may be to interrogate the Sun itself.","As the story goes, invaders stole some of the Sun's clothes, and wore it to approach the island; this was the source of their invulnerability. The Sun, angered, decided to seek them out, refusing to leave the sky until it found the thieves. It only departed when the Moon arrived, for it was ashamed to be seen without its usual adornments. Glad to finally receive help, it points the spirits in the right direction.",Scenario #52
69,AFFINITY - Spirits of Deep and Flowing Water,(none),"Ocean's Hungry Grasp, River Surges in Sunlight",,All other spirits,,Scotland,Standard,Use Ward the Shores default scenario.,"River Surges in Sunlight and Ocean's Hungry Grasp have always been close, but rarely met, as one is usually active in good weather, and the other thrives in the deepest storm. When they meet, it is always on the shore, where they can greet each other on equal footing. How surprising to the both of them, then, to realise that shores have already been overtaken by an invader interested in turning those coasts into a trade hub!","Invaders are bound to bring back stories home, and this story will surely remind them of the risks of approaching the archipelago's coasts!","If you won during your first game, reveal Artifact #11 and Artifact #54.
If you won during your second game, only reveal Artifact #11."
70,BENEATH THE ARCHIPELAGO: A New Island,(none),Serpent Slumbering Beneath the Island,,"Volcano Looming High, Finder of Paths Unseen, Ocean's Hungry Grasp",Reach,Scotland,Archipelago,"There are 9 ocean lands between shores. As such, coastal lands from one board are at distance -> 10 from coastal lands from the other board. You may use scenario markers to represent ocean lands.
During game setup, spirits can only place presence on their own starting board, even if rules would normally allow them to place presence on the other board.
Every time spirits gain a minor or major power, they can choose from two additional cards (for most spirits, this means you will be choosing one card among six).
Presence, Dahan and beasts cannot be placed into the ocean, but they may be gathered and pulled there.
Additional victory condition: Both spirits have a sacred site on land #5 of Serpent Slumbering Beneath the Island's starting board.
WARNING: Loss will result in the end of this side story.","The island rises from the sea and from the past, hardly visible on the horizon. As it does, the sky takes on a purple hue, and the ground shakes. Is it Volcano Looming High's anger that triggered the earthquake, or the powers held within this new island?
Spirits are willing to make their way to the new island... only, the ocean is stretching wide before them.","After having reached the island, spirits attempt to communicate with the Serpent. As it slowly awakens, it expresses only one desire: to be fed once again.","If you won (either during your first or second game), unlock Scenario #55"
71,Insurrection Under the Rain,"Grinning Trickster Stirs Up Trouble, Many Minds Move as One, Downpour Drenches the World",(none),,(none),,France,Fragment,Use Dahan Insurrection default scenario,"As Many Minds Move as One arrives, the Dahan and invaders are at each other's throat. Invaders have called for reinforcements, and Dahan raid invaders' encampment without hesitation. Throughout all this, spirits seem delighted.","It takes a long while for events to calm down. Was it a diplomatic effort on the Dahan and invaders' part? Or was it simply that Grinning Trickster Stirs Up Trouble and Downpour Drenches the World finally got bored of the situation and moved on?
While humans may be calming down, many smaller spirits that exist in close harmony with the land itself are still aching from the consequences of the unleashed pandemonium, and it is time for spirits to make amends, lest they make a very large number of new enemies.",Scenario #21
72,Dwindling Population,(none),"Volcano Looming High, Shroud of Silent Mist, Vengeance as a Burning Plague, Thunderspeaker",,All other spirits,,Scotland,Standard,"After game setup, on each land with 2 Dahan, replace 1 Dahan with 1 blight from the box, not the card (do not cascade and do not remove presence).
One spirit starts with Call of the Dahan Ways minor power; the other starts with Cycles of Time and Tide minor power.
Additional victory condition: there are at least 12 Dahan on the island.","By the time Thunderspeaker and Volcano Looming High arrive, the island is already severely damaged, and Dahan population has greatly diminished. Horrified, Thunderspeaker does its best to help Dahan recover, half-heartedly helped by the other spirits.","The Dahan population may have been stabilised, but it is by now clear that neither Vengeance as a Burning Plague, nor Shroud of Silent Mist are willing to go anywhere, and destruction is still very much on the agenda. Thunderspeaker cannot stay forever, but before leaving, provides a suggestion to Volcano Looming High. An idea that may benefit everyone on the archipelago...",Scenario #68
73,A Wall of Thorns and Brambles,"Ocean's Hungry Grasp, Keeper of the Forbidden Wilds, Thunderspeaker",(none),,(none),,Sweden,Coastline,"Use Ward the shores default scenario, with the following modifications:
-A Warding Pattern can only be placed on a coastal land with Wilds
-The base cost of a Warding Pattern is 2 energy (instead of 0 energy)
-The Warding Pattern does not grant Defend 3. Instead, Whenever the invader Explores this land, prevent that invader from exploring (as usual, per the Wilds token). Do not remove the Wilds token afterwards. Ignore game effects that would remove the Wilds token as long as the Warding Pattern is in place.","The magical barrier River Surges in Sunlight had erected on the North-western part of the island is probably long gone by now, but it proved effective enough, for a time. Perhaps a little help from the Wilds may improve its efficiency?","Now confident the shores will remain safe, at least for a time, the spirits split up to offer all the help they can provide to their aspects-seeking neighbours.","Unlock Scenario #31, #36 and #49."
74,Victory by Destruction,(none),(none),,(none),,Brandenburg-Prussia,"Thematic Map North-East, East and South-East.
You may want to re-read rules regarding extra island boards (JE p. 18)","If you have not unlocked at least 2 spirits, immediately unlock Heart of the Wildfire and lower your FINAL SCORE by 1.
If you have not unlocked a single spirit, also unlock Serpent Slumbering Beneath the Island and lower your final score by 1 more.

Before the game starts: lower Adversary level by 1.

Remove Terror Level 3 card from the Fear Deck: it cannot be unlocked. You can still earn Fear cards normally, but you get benefits only up to Terror Level 2.

Additional victory condition: there is at most 1 land on each board with invaders.","Some spirits believe mere fright will not be enough to chase the invaders away forever: for them, only destruction will serve. They decide to stay and storm the island until every single building is brought down.","Surrounded by ashes and wreckage, spirits consider the horizon, now empty of ships. Hopefully devastation on such a scale will be enough to convince adversaries never to come back again.","After completing both this scenario and Scenario #59, read Annex 5."
75,The Ocean Hungers,Thunderspeaker,Ocean's Hungry Grasp,,Keeper of the Forbidden Wilds,,Sweden,Standard,"On each turn where Ocean's Hungry Grasp drowns at least 3 invaders, it gains 1 additional energy (at most once per turn).

Additional victory condition: Ocean's Hungry Grasp sacrifices 25 energy, as all other victory conditions are met.","As they make their way back, Ocean's Hungry Grasp stops in its travels. On the horizon, numerous ships can be seen, their sails inflated by the wind. Such a wonderful opportunity, it would be a shame to let it go by.","Ocean's Hungry Grasp momentarily sated, the spirits finished their journey, eager to see what happened on the island in their absence.",Scenario #24
76,Prussian showdown,(none),"Lightning's Swift Strike, Vital Strength of the Earth, River Surges in Sunlight, Shadows Flicker Like Flame",,All other spirits,,Brandenburg-Prussia,Thematic map West and North-West,"If you have used Flag #1, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.

If you have used Flag #2, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.

Use The Great River default scenario.","Initially surprised by the unexpected arrival of spirits, invaders choose to seek shelter deeper on the island.
Spirits, strengthened in their various aspects, are already set to push them back to the shores.","Further North, spirits are already prepared to turn England invaders back where they come from.",Scenario #48
77,A lesson from the Land,"Stone's Unyielding Defiance, Starlight Seeks its Form, Fractured Days Split the Sky",(none),,(none),,Habsburg,Fragment,Use Varied Terrains default scenario.,"Stone's Unyielding Defiance and Fractured Days Split the Sky discuss the situation, and together come to three conclusions: first, the defense of the island must remain their top priority; second, Fractured Days Split the Sky's unique relationship with Might-Have-Been may take on especially useful shapes; and third, this may be an excellent opportunity to help Starlight Seeks its Form discover what it will become.
They agree that the first step of this teaching should be one that binds them to the land.","Stronger from their encounter with the land itself, spirits decide to move on to their next lesson: one that concerns the Elements themselves.","If you won (either during your first or second game), reveal Artifact #24.
Regardless of the outcome, unlock Scenario #39."
78,A Wild Uproar,"Grinning Trickster Stirs Up Trouble, Downpour Drenches the World, Lightning's Swift Strike (pandemonium aspect)",(none),,"Many Minds Moves As One, Shadows Flicker Like Flames",,France,Standard,"At the end of every turn, move all Dahan / beasts / invaders / spirit presence in land #1 to land #2 of the same board.
Move all Dahan / beasts / invaders / spirit presence in land #2 to land #3 of the same board, and so forth for all lands.
Move all Dahan / beasts / invaders / spirit presence in land #8 to land #1 of the other board.
In all lands that had invaders and now does not, add an explorer.","Grinning Trickster Stirs Up Trouble arrives as the entire land dances under the rain. On its surface, Dahan, beasts and invaders thrash about in total confusion. The Trickster screams with delight, and immediately goes to work: rarely has discord spread so easily.","Who knows for how long this dance would have kept going if Lightning's Swift Strike's attention had not been drawn elsewhere? It leaves as quickly as it came, abandoning the island to its own destiny... but under Downpour Drenches the World and Grinning Trickster Stirs Up Trouble's influence, this is far from peace and quiet. Already, invaders and Dahan are blaming each other for the confusing events they have all just been through.",Scenario #71
79,Scottish CONFRONTATION,"Volcano Looming High, Shroud of Silent Mist, Vengeance as a Burning Plague",(none),,(none),,Scotland,Opposite Shores,"Use Despicable Theft default scenario.

It is recommended, but not mandatory, to play all available AFFINITY and side story scenarios before completing this one.","In a desperate attempt to keep the Sun's artifact, invaders are fleeing left and right. This chase only seems to excite Vengeance as a Burning Plague, still burning hot with anger. As for Shroud of Silent Mist, it stays mute as usual, but does give chase as well.","In all the chaos and confusion, it is hard to tell whether invaders succeeded in their endeavour or not. New ships are already looming on the horizon, so one thing is clear: their enthusiasm has not been quenched by the damage they have already taken. Either they are extremely optimistic, extremely foolish, or extremely desperate...","Reveal Flag #13, Flag #14 and Artifact #28.
Unlock Scenario #46."
80,Habsburg CONFRONTATION,"Starlight Seeks its Form, Fractured Days Split the Sky, Stone's Unyielding Defiance",(none),,(none),,Habsburg,Fragment,Use Ward the shores default scenario.,"Spirits agree to the invitation; however they cannot afford to leave the island to the invaders. In order to buy themselves enough time to go and attend this grand gathering, they decide to call upon a well-known ritual, and raise barriers upon the shores. Fractured Days Split the Sky comes back to help them as they begin preparing.","It is already clear that the magical barrier surrounding the island will not last, but spirits believe it will last for a while, enough for them to attend the gathering without losing the island to the invaders. They depart uneasily.","Reveal Flag #9, Flag #10 and Artifact #17.
Unlock Scenario #63"
81,Earth Rouses Slowly,"River Surges in Sunlight, Lightning's Swift Strike, Shadows Flicker Like Flame",(none),,(none),,Brandenburg-Prussia,Standard,"Once during each spirit phase, either or both spirits may decide to remove two of their presences from a land, putting a Scenario Token in its place. The scenario token provides Defense 3 in its land. It cannot be moved or removed.

Additional victory condition: There are at least 4 Scenario Tokens on the board.","As the invaders come back, spirits decide to dedicate their energy to form a request, destined to be heard by the still sleeping Vital Strength of the Earth. Surely, if they manage to draw his attention and convince him to join them, he would make for a formidable ally!","Vital Strength of the Earth's attention is finally drawn by the request. Nodding slowly, it takes a long look at the land, at the horizon, and at the invaders amassing in the distance. Slower still, it starts moving... and once Vital Strength of the Earth starts moving, there are very few things below the sky to stop it.",Scenario #26
82,A Lesson from the Dahan,"Starlight Seeks its Form, Fractured Days Split the Sky, Stone's Unyielding Defiance",(none),,(none),,Habsburg,Standard,Use Dahan Insurrection default scenario,"Spirits are not alone on the archipelago anymore, and they will never be again: for better or worse, their fate is now intertwined with that of the Dahan. As such, Stone's Unyielding Defiance and Fractured Days Split the Sky insisted on bringing Starlight Seeks its Form before the Dahan, and allow it to see them as they participate in the defense of the island","At last, Fractured Days Split the Sky steps back: what could be taught had been taught, what could be created had been created. It needed a moment of rest.
As it went back to the Sky to recover, the invaders came back, this time strong with Hearth-Vigil's blessing: remnants of invulnerability still upon them.","If you won (either during your first or second game), reveal Artifact #44.
If you lost, reveal Artifact #44 and immediately lose 5 influence (or all your influence if you have less than 5).
Regardless of the outcome, unlock Scenario #9."
83,The Stand,"Vital Strength of the Earth, Shadows Flicker Like Flame",(none),,"Lightning's Swift Strike, River Surges in Sunlight, Thunderspeaker, Ocean's Hungry Grasp",,Brandenburg-Prussia,Fragment,"Ignore normal victory conditions. Instead, you win if the invaders have to draw a card from the invader deck, and there are no cards left (normally, this would be a losing condition).","In the absence of River Surges in Sunlight and Lightning's Swift Strike, there is but one thing to do: hold the fort until they come back. There are no magic tricks, no secret weapons. There is only one thing to do: hold fast, for as long as possible. Spirits set in for a long confrontation.","Weeks turn into months as the invaders keep pouring in, and still, no sign that help is coming. Vital Strength of the Earth itself, mighty and nigh-unstoppable as it may be, starts to show signs of fatigue. Then, all of a sudden, the waves stop. Shadows Flicker Like Flame reports hearing from the Dahan: the invaders are changing their strategy. The meaning of such rumour yet eludes both spirits, but certainly, it can't mean anything good.",Scenario #14
84,ASPECT of Might,Stone's Unyielding Defiance,Vital Strength of the Earth,Might,"Shattered Days Split the Sky, Starlight Seeks its Form",,Habsburg,Fragment,"Use Powers Long Forgotten default scenario.
Additional loss condition: invaders discover all sources of power.
Spirits do not benefit from the first source of power they find.","It is not surprising that Stone would know Earth's secrets, and vice versa. A spirit such as Stone's Unyielding Defiance was bound to have learned of the object that Vital Strength of the Earth sought; however the distance that separated their original island made it difficult to communicate. This may be the only opportunity the two spirits would have to try to uncover the object of power that could unlock Vital Strength of the Earth's aspect. Sadly, invaders are already present on site, and risk uncovering the artifact before them.","The search completed, Vital Strength of the Earth departs, leaving Stone's Unyielding Defiance in the company of two spirits from the sky to defend its island. Already, Stone's Unyielding Defiance feels compelled to go back to Starlight Seeks its Form, to protect it as it makes its first steps on the island.","If you won during your first game, unlock Vital Strength of the Earth's Might aspect.
If you won during your second game, instead reveal Artifact #38.
Regardless of the outcome, unlock Scenario #77."
85,Swedish Showdown,(none),"Ocean's Hungry Grasp, Thunderspeaker, Keeper of the Forbidden Wilds",,All other spirits,,Sweden,Thematic map North-East and East,"If you have used Flag #5, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.
If you have used Flag #6, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.

Use Dahan Insurrection default scenario.","Whatever the invaders' reactive strategy may have been, they have little time to enact it: already, Ocean's Hungry Grasp is ravaging the coasts, Thunderspeaker is bringing Dahan on the warpath, and Keeper of the Forbidden Wilds is putting an end to all hopes of retreating deeper within the island.","As the Swedish flag is disappearing from the North-Eastern part of the island, a great cacophony can be heard, like a thousand beasts screaming together. The sound is quickly dampened, however, as rain starts pouring from the sky.",Scenario #40
86,AFFINITY - Spirits Born of the Sun and Moon,(none),"Fractured Days Split the Sky, Starlight Seeks its Form",,All other spirits,,Brandenburg-Prussia,Standard,Use Blitz default scenario,"The Sky and the Land rarely meet, and when they do so, it is generally in the faraway land at the edge of the horizon. As such, when spirits come down from the ceiling of the world to lend help on the island, they often arrive long after those events transpire. On rare occasions, they arrive just as they are unfolding.","Would invaders be more prudent, knowing that spirits from the Sky are defending the archipelago? Or would it simply encourage them to hurry up even further? Perhaps Fractured days Split the Sky knows, but it never tells.","If you won during your first game, reveal Artifact #56 and Artifact #12.
If you won during your second game, only reveal Artifact #56."
87,Russian Showdown,(none),"Shifting Memory of Ages, Finder of Paths Unseen, Lure of the Deep Wilderness",,All other spirits,,Russia,Thematic Map West and East,"If you have used Flag #11, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.
If you have used Flag #12, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.","In hope of calming spirits roaming on the island, Russian invaders made offerings to local spirits of the land. In response, they agreed to give them some help. Use Varied Terrains Scenario.","By far the largest ruckus is caused on the South-West end of the island, for by now, invaders have understood that Vengeance as a Burning Plague is coming their way, and they are trying to entrench themselves as best they can. Fools.",Scenario #28
88,Inquisitive Beasts and Furious Land,"Bringer of Dreams and Nightmares, A Spread of Rampant Green, Sharp Fangs Behind the Leaves",(none),,(none),,England,Standard,Use Varied Terrains default scenario,"Beasts seek, dig, dive, and track, seeking the artifacts dreamed by spirits from a neighbouring island. In doing so, they disturb spirits of earth and water, spirits of dry desert sands and proud mountain spirits, who do not take kindly to the intrusion. They decide to prefer human newcomers to beastly invaders...","It doesn't take long for beasts to report sightings of the desired objects... in much larger quantities than expected. Surely there are a few mistakes, but surely, it is worth investigating?
A Spread of Rampant Green, close to the offended land, takes it upon itself to make amends for the intrusion and smooth things over, as Bringer of Dreams and Nightmares sends forth an oneiric message to the interested party...",Scenario #95
89,Swedish CONFRONTATION,"Keeper of the Forbidden Wilds, Thunderspeaker, Ocean's Hungry Grasp",(none),,(none),,Sweden,Coastline,Use The Great River default scenario,"Spirits have little time to ponder upon the revelations they just heard, as invaders are redoubling their efforts to reach the heart of the island.","Spirits' defenses are still holding, but they now understand that localised solutions will never be enough: a coordinated effort from spirits coming from all ends of the archipelago will be required. Let the word spread: an event of unprecedented proportions is to take place! All spirits, big and small, from all over the archipelago, are to meet together.
Organising such an event will take a long time, and there is much to be done in the meantime: Hearth-Vigil and Weaves a Web of Souls' locations are still unknown, and the spirits seeking their aspects are far from done with their search.","Reveal Flag #5, Flag #6 and Artifact #7.
Unlock Scenario #5

REVEAL ANNEX 4."
90,On the Difficult Task of Fending Off Eagles,"River Surges in Sunlight, Lightning's Swift Strike, Vital Strength of the Earth",(none),,"Thunderspeaker, Shadows Flicker Like Flame",,Brandenburg-Prussia,Standard,Use ward the shores default scenario,"Spirits, with the exception of the still-absent Shadows Flicker Like Flame, take the moment of rest they earned to try to come up with a strategy: certainly, destroying towns and cities is efficient, and striking fear in the heart of invaders is an excellent solution, and yet, the invaders keep coming. There has to be a more permanent solution...
Spirits exchange ideas, argue, and seek solutions. Some want to teach the invaders, other believe destruction is the only way. As they discuss, invaders are once again looming on the horizon.
No permanent solution has yet been found, but perhaps a temporary one would buy them a bit more time? River Surges in Sunlight mentions a ritual to ward the shores, perhaps solving the problem of invaders for a time.","The magical barrier set in place seems to hold, at least for the time being. Spirits take a brief moment to celebrate their victory, but this celebration is short-lived: their island is large, and they did not ward all shores. By the look of it, invaders have already found another way in.",Scenario #22
91,AFFINITY - Temperamental Spirits of the Earth,(none),"Volcano Looming High, Stone's Unyielding Defiance",,All other spirits,,Sweden,Standard,Use A Diversity of Spirits default scenario,"According to some legends, Stone's Unyielding Defiance is Volcano Looming High's younger sibling. According to some others, Stone's Unyielding Defiance is a child of the Volcano. Others claim they are actually one and the same spirit, appearing under different incarnations. The one thing all stories agree upon is that Volcano Looming High and Stone's Unyielding Defiance are some of the most temperamental and unwavering spirits on the entire archipelago.
Both are extremely quarrelsome, so it does not come as a surprise when, forced to collaborate in the face of invaders, they keep communication with one another to a minimum.","Surrounded by badlands, afraid of the angry Volcano and unable to turn the Stony land into fertile grounds, invaders are bound to turn back, defeated.","If you won during your first game, reveal Artifact #41 and Artifact #20.
If you won during your second game, only reveal Artifact #41."
92,Amorphous ASPECT,(none),"Shadows Flicker Like Flame, Many Minds Move as One",Amorphous,All other spirits,,France,Standard,"Use Powers Long Forgotten default scenario
Additional loss condition: invaders discover all sources of power.
Spirits do not benefit from the first source of power they find.","Many Minds Move as One does not communicate like other spirits; to most, it is an alien entity, whose motives are incomprehensible. Some believe it does not have the capacity for intelligent thought, and it is no smarter than the individual beasts that compose it, but they are wrong. In this case, its different mode of existence is an asset, as it allows it to communicate with Shadows Flicker Like Flame on a level few would understand.","Both spirits took shape in an instant, gathered where they were needed, sought what they were after, and disappeared as soon as their work was done without leaving a trace. Dahan that were present at the time still wonder whether any of it really happened, or if they simply imagined it all.","If you won during your first game, unlock Shadows Flicker Like Flame's Amorphous aspect.
If you won during your second game, instead reveal Artifact #32.
Regardless of the outcome, unlock Scenario #71"
93,A Memory from the Ages,Finder of Paths Unseen,Shifting Memory of Ages,,"Lightning's Swift Strike, Shadows Flicker Like Flame, Lure of the Deep Wilderness",,Russia,Fragment,"This scenario can only be played after completing Scenario #41.
Ignore normal winning conditions. Instead, you win if invaders need to draw from the Invader Deck, but the deck is empty (this would normally be a losing condition)","Recall is not an exact science, and sometimes, it is necessary to seek for a long time to find memories that are buried deep under the years. However, spirits are confident. It is just a matter of buying enough time for Shifting Memory of Ages to recall...","It is the island itself!
Shifting Memory of Ages is radiant: it remembered.
The island itself is a spirit, that of a colossal Serpent. If they manage to wake it up, such a fantastic spirit is bound to shift the balance in their favour.",Scenario #16 and #61.
94,French CONFRONTATION,"Many Minds Move as One, Grinning Trickster Stirs Up Trouble, Downpour Drenches the World",(none),,(none),,France,Standard,Use Rituals of the Destroying Flame default scenario,"For an entire month now, the Sun stayed up in the sky without ever leaving. Dahan who remember the Years of the Relentless Sun fear the worst. Crops are withering, and if not from the clouds brought forth by Downpour Drenches the World, famine would already be upon them. When invaders arrive on the coast once again, Dahan quickly realise that something has changed: invaders appear invulnerable, as the stories predicted. Without supernatural intervention, it won't be long before the invaders claim the entire archipelago as their own.","Spirits managed to scrounge up a defense to push back the invaders, but only at a great cost. Still, this proves that invaders are not as invulnerable as they claimed to be. With a mix of exhaustion and relief, spirits prepare for the arrival of the next wave of invaders, now more confident and better prepared.","Reveal Flag #7, Flag #8 and Artifact #27.
Unlock Scenario #18"
95,ASPECT of Madness,"Sharp Fangs Behind the Leaves, Bringer of Dreams and Nightmares",Shadows Flicker Like Flame,Madness,A Spread of Rampant Green,,England,Standard,"Use Powers Long Forgotten default scenario.
Additional loss condition: invaders discover all sources of power.
Spirits do not benefit from the first source of power they find.","Beasts gave reports of a great many objects, and there is no way to tell which ones are useful, and which ones are useless. However, the arrival of Shadows Flicker Like Flame confirms one thing to all present: there is definitely an aspect here, just waiting to be uncovered. Whether it is wise to let a mad Shadows Flicker Like Flame upon the archipelago is another question entirely...","There are more artifacts to uncover, but this will have to wait: unleashing Madness upon the island is not without consequence. Dahan and beasts appear completely out of control, and Shadows Flicker Like Flames is now nowhere to be seen. In addition to that, a new wave of invaders is looming on the horizon.","If you won during your first game, unlock Shadows Flicker Like Flame's Madness aspect.
If you won during your second game, instead reveal Artifact #31.
Regardless of the outcome, unlock Scenario #43."
96,English CONFRONTATION,"Sharp Fangs Behind the Leaves, A Spread of Rampant Green, Bringer of Dreams and Nightmares",(none),,(none),,England,Coastline,Use The Great River default scenario,"Far from being discouraged by the opposition they encountered, the invaders decide to multiply their efforts, sending entire towns at a time toward the centre of the island. In the heart of every invader, greed and fear are conflicting, and it is up to the spirits to ensure fear dictates their action.","By now, both invaders and Dahan have taken massive losses, and the land bears scars of the confrontations. The situation cannot go on for long, otherwise the island will remain blighted forever. Spirits would like a word with Hearth-Vigil, but with a new wave of invaders already looming on the horizon, there is little time to try to find it.","Reveal Flag #3, Flag #4 and Artifact #2.
Unlock Scenario #51."
97,AFFINITY - Spirits from Time Immemorial,(none),"Serpent Slumbering Beneath the Island, Finder of Paths Unseen",,All other spirits,,Brandenburg-Prussia,Fragment,Use Rituals of Terror default scenario,"It is believed that the oldest of magic stems from the oldest of spirits. As the story goes, Rituals of Terror were created millenia ago by Serpent Slumbering Beneath the Island and Finder of Paths Unseen, long before the archipelago was ever formed. They originally meant to help other living beings come to terms with their own mortality, but they quickly discovered that death is an uneasy subject to bring up with beings of limited life span, and by presenting the subject too directly, the result is often pure terror.","Other legends challenge the origin of the Ritual, and claim that it is much more recent, and was created by Shadows Flicker Like Flame and Bringer of Dreams and Nightmares, in response to the invaders' presence. Could both be true?","If you won during your first game, reveal Artifact #5, Artifact #49 and Flag #15.
If you won during your second game, only reveal Artifact #5 and Flag #15."
98,AFFINITY - Spirits of Blaze and Destruction,(none),"Heart of the Wildfire, Vengeance as a Burning Plague",,All other spirits,,Sweden,Opposite Shores,Use Rituals of the Destroying Flame default scenario,"The Wildfire has always been a focus of Vengeance as a Burning Plague's interest. It is said that it feels at home there. Could it be that the spirit of retribution and anger actually enjoys Heart of the Wildfire's presence, for no reason other than the latter's pleasant disposition? Or does the firestorm that constantly surrounds it have more to do with it? One way or another, when the invaders decide to leverage the powers of the Destroying Flame to their advantage, those spirits feel compelled to react - after all, this is their province.",Invaders are bound to have learned a lesson on this day: play with fire; get burned.,"If you won during your first game, reveal Artifact #1 and Artifact #37.
If you won during your second game, only reveal Artifact #37."
99,Spirits of Death and Decay,(none),"Vengeance as a Burning Plague, Shroud of Silent Mist",,All other spirits,,Scotland,Standard,"When making the Fear Deck, move the top 2 fear cards to the bottom of the deck (so Terror Level 2 and 3 come much sooner).
Additional Victory Condition: There is at most 1 land per board with invaders.","Vengeance as a Burning Plague and Shroud of Silent Mist understand each other instinctively. They are spirits of vengeance and death, and are hell-bent on destruction. As Volcano Looming High ponders upon the situation, they do not hesitate, unleashing their fury against Dahan and invaders equally.","Distraught with the way events turned, Volcano Looming High decides to seek help. Only, which spirit would be available? They have all gathered far away. In the meantime, Vengeance as a Burning Plague and Shroud of Silent Mist are moving forward with their wave of destruction.",Scenario #11 and #15
100,CHILD OF THE VOLCANO AND THE GREEN: Ritual of Awakening,(none),Volcano Looming High,,Keeper of the Forbidden Wilds,,Russia,Standard,"Terror levels are not earned via fear, but by the Ritual of Awakening.
Do not resolve earned Fear Cards during the Invader Phase.
During the fast phase, Volcano Looming High may perform the Ritual of Awakening if is is able to reach the 2nd / 3rd / 4th threshold for its Explosive Eruption innate power, and spirits collectively pay 4 / 6 / 10 energy, for the first / second / third Ritual.
When the Ritual of Awakening is performed:
-Earn the next Terror Level (this may be VICTORY on your third Ritual)
-Resolve all earned Fear Cards (at the new Terror Level)
Setup changes are as per the Rituals of Terror default scenario.

WARNING: Loss will result in the end of this side story.","Volcano Looming High considers the request of the approaching spirits, and decides to help: given the situation, it is time to awaken the Heart of the Wildfire. Volcano Looming High prepares to call its child, sending a message so loud the entire archipelago will hear it.","Volcano Looming High's calls echoes throughout the archipelago, and all around, the land seems to combust. Below the mountain, where the jungle is thick and the Wildfire now roams free, the spirit awakens, and the sound of burning trees sound like a jolly laughter.","If you won (either during your first or second game), unlock scenario #33."
